pock_volume	pock_volume_st	pock_asa	pock_asa_st	pock_pol_asa	pock_pol_asa_st	pock_apol_asa	pock_apol_asa_st	pock_asa22	pock_asa22_st	pock_pol_asa22	pock_pol_asa22_st	pock_apol_asa22	pock_apol_asa22_st	nb_as	nb_as_st	mean_as_ray	mean_as_ray_st	mean_as_solv_acc	mean_as_solv_acc_st	apol_as_prop	apol_as_prop_st	mean_loc_hyd_dens	mean_loc_hyb_dens_st	hydrophobicity_score	hydrophobicity_score_st	volume_score	volume_score_st	polarity_score	polarity_score_st	charge_score	charge_score_st	prop_polar_atm	prop_polar_atm_st	as_density	as_density_st	as_max_dst	as_max_dst_st	convex_hull_volume	convex_hull_volume_st	nb_abpa	nb_abpa_st	ala	ala_st	arg	arg_st	asn	asn_st	asp	asp_st	cys	cys_st	gln	gln_st	glu	glu_st	gly	gly_st	his	his_st	ile	ile_st	leu	leu_st	lys	lys_st	met	met_st	phe	phe_st	pro	pro_st	ser	ser_st	thr	thr_st	trp	trp_st	tyr	tyr_st	val	val_st	rog_pro_noh	rog_pro_noh_sd	rog_pro_bb	rog_pro_bb_sd	rog_pro_ca	rog_pro_ca_sd	rog_bs_noh	rog_bs_noh_sd	rog_bs_bb	rog_bs_bb_sd	rog_bs_ca	rog_bs_ca_sd	rmsd_pro_noh	rmsd_pro_noh_sd	rmsd_pro_bb	rmsd_pro_bb_st	rmsd_pro_ca	rmsd_pro_ca_sd	rmsd_bs_noh	rmsd_bs_noh_sd	rmsd_bs_bb	rmsd_bs_bb_sd	rmsd_bs_ca	rmsd_bs_ca_sd	b_para	b_anti	h_3-10	halpha	h_pi	turn	bend	random-coil	ip	molecular-weight	aromaticity	instability	gravy	%g	%a	%v	%l	%i	%p	%f	%m	%w				
457.033	136.345	278.606	75.852	145.85	47.89	132.756	38.429	150.702	51.13	85.164	36.895	65.538	25.821	149.944	57.307	3.886	0.156	0.486	0.043	0.251	0.13	28.373	21.134	15.388	5.232	3.608	0.344	9.755	2.224	1.818	0.89	46.09	4.416	4.551	1.299	10.908	2.759	87.503	61.134	8.41	2.455	0.002	0.045	0.156	0.368	0	0	0.673	0.59	2.234	0.599	1.515	0.518	0	0	1.451	0.558	0.877	0.33	0	0	0	0	1.458	0.766	0	0	0.998	0.055	0.001	0.032	2.979	0.183	0.926	0.263	0	0	1.171	0.983	0.354	0.493	16.852	0.06	16.241	0.062	16.247	0.062	7.215	0.101	7.824	0.096	7.48	0.105	1.53	0.093	1.025	0.081	0.992	0.083	1.083	0.12	0.71	0.074	0.691	0.092	0.0084	0.3289	0.0246	0.0541	0	0.1796	0.1389	0.2655	5.101	19614.0576	0.085714286	58.80857143	-0.326285714	0.074285714	0.062857143	0.062857143	0.074285714	0.062857143	0.068571429	0.028571429	0.04	0.017142857	2.1	0.7	WLEK0322	WLEK0322
500.371	129.926	304.466	74.595	157.998	44.411	146.468	38.761	165.227	49.951	94.608	34.638	70.619	25.343	142.188	48.463	3.934	0.158	0.486	0.042	0.228	0.108	24.178	17.216	16.34	5.274	3.689	0.318	10.432	2.019	1.558	0.932	45.373	4.525	4.513	1.076	11.312	2.448	99.617	62.158	8.113	2.441	0.003	0.055	0.311	0.467	0	0	0.943	0.667	2.552	0.982	1.615	0.509	0	0	1.538	0.594	0.909	0.289	0	0	0	0	1.281	0.591	0	0	0.998	0.055	0	0	2.976	0.201	0.832	0.375	0	0	1.565	0.94	0.53	0.515	16.865	0.046	16.229	0.05	16.245	0.049	7.251	0.098	7.784	0.095	7.439	0.102	1.637	0.121	1.09	0.094	1.057	0.087	1.27	0.206	0.677	0.084	0.633	0.093	0.0083	0.3255	0.0278	0.0529	0	0.1755	0.1392	0.2708	5.101	19614.0576	0.085714286	58.80857143	-0.326285714	0.074285714	0.062857143	0.062857143	0.074285714	0.062857143	0.068571429	0.028571429	0.04	0.017142857	3.5	6.2	WLEK0323	WLEK0323
489.415	133.648	302.37	75.156	158.381	46.51	143.989	40.665	165.255	50.983	92.768	35.712	72.487	27.693	112.571	49.997	4.026	0.119	0.509	0.047	0.184	0.119	14.462	13.393	15.427	5.166	3.374	0.338	8.847	1.92	1.236	1.187	49.969	4.254	4.342	1.162	10.913	2.679	78.204	56.865	8.378	2.564	0.001	0.032	0.492	0.502	0.001	0.032	0.906	0.637	2.095	0.917	1.022	0.62	0	0	2.202	0.62	0.856	0.352	0	0	0	0	0.794	0.636	0	0	1	0.032	0.02	0.14	2.963	0.206	0.955	0.209	0	0	0.858	0.821	0.732	0.673	17.007	0.066	16.374	0.065	16.383	0.064	7.441	0.181	7.999	0.182	7.647	0.185	1.705	0.133	1.213	0.115	1.177	0.119	1.442	0.156	0.887	0.188	0.858	0.195	0.0075	0.3366	0.0289	0.0535	0	0.176	0.1284	0.2691	5.293	19689.1027	0.091428571	60.18628571	-0.386285714	0.074285714	0.062857143	0.057142857	0.068571429	0.068571429	0.068571429	0.028571429	0.034285714	0.017142857	3.6	6.4	WLEK0324	WLEK0324
545.95	135.61	326.217	75.328	188.187	52.262	138.03	33.734	187.135	54.011	127.024	45.28	60.11	23.758	155.221	53.479	3.982	0.116	0.467	0.048	0.205	0.101	25.069	17.979	20.838	5.152	3.725	0.274	10.077	2.128	1.465	0.913	47.321	4.004	4.567	0.878	11.028	2.08	114.953	65.721	8.811	2.499	0.002	0.045	0.26	0.441	0	0	0.786	0.638	3.158	0.837	1.769	0.45	0	0	1.484	0.516	0.936	0.247	0	0	0	0	1.055	0.609	0	0	0.999	0.045	0.003	0.055	2.947	0.23	0.426	0.495	0	0	1.898	1.018	0.811	0.477	16.846	0.047	16.202	0.055	16.213	0.054	7.302	0.135	7.926	0.102	7.61	0.099	1.744	0.132	1.234	0.102	1.203	0.103	1.245	0.139	0.969	0.137	0.954	0.146	0.0083	0.3357	0.0224	0.0526	0	0.1755	0.1411	0.2644	4.961	19613.0034	0.085714286	55.45657143	-0.338857143	0.074285714	0.062857143	0.062857143	0.08	0.062857143	0.068571429	0.022857143	0.034285714	0.017142857	1.0	1.2	WLEK0327	WLEK0327
462.148	108.792	292.348	65.457	152.89	39.204	139.458	35.296	149.026	45.328	77.187	25.999	71.84	28.468	139.297	41.928	3.878	0.084	0.468	0.034	0.225	0.12	22.41	16.165	10.878	3.989	3.602	0.26	10.303	1.71	1.824	0.659	47.222	4.151	4.993	1.04	12.263	2.369	91.27	56.119	9.423	2.358	0.017	0.129	0.064	0.249	0.001	0.032	0.971	0.521	1.747	0.671	1.624	0.487	0	0	1.816	0.523	0.932	0.253	0	0	0	0	1.799	0.494	0	0	0.996	0.071	0	0	2.946	0.249	0.849	0.359	0	0	1.117	0.642	0.207	0.408	17.019	0.059	16.416	0.06	16.429	0.059	7.188	0.106	7.665	0.098	7.272	0.1	1.78	0.157	1.316	0.133	1.289	0.135	1.238	0.119	0.877	0.118	0.832	0.129	0.0084	0.3414	0.0237	0.0512	0	0.1812	0.1352	0.2589	5.101	19644.0836	0.085714286	58.32342857	-0.348	0.074285714	0.062857143	0.057142857	0.074285714	0.068571429	0.068571429	0.022857143	0.04	0.017142857	1.8	1.6	WLEK0328	WLEK0328
406.357	146.822	254.448	83.262	125.905	46.506	128.543	45.427	127.444	54.261	64.352	32.17	63.092	31.148	123.359	53.575	3.819	0.34	0.466	0.064	0.278	0.133	25.566	17.778	13.56	6.256	3.532	0.478	9.393	2.559	1.261	1.073	46.972	6.723	4.408	1.332	10.768	3.333	72.254	61.643	8.262	2.764	0	0	0.169	0.377	0	0	0.914	0.76	1.89	1.09	1.513	0.575	0	0	1.706	0.639	0.886	0.319	0	0	0	0	1.12	0.726	0	0	0.972	0.168	0.003	0.055	2.726	0.544	0.831	0.376	0	0	1.234	0.945	0.247	0.436	16.904	0.052	16.279	0.052	16.292	0.052	7.111	0.111	7.67	0.101	7.321	0.104	1.616	0.116	1.139	0.095	1.107	0.096	1.092	0.158	0.933	0.142	0.889	0.15	0.0085	0.3302	0.0265	0.0553	0	0.1787	0.1379	0.2629	5.279	19679.0647	0.091428571	54.77028571	-0.368571429	0.074285714	0.057142857	0.062857143	0.068571429	0.068571429	0.062857143	0.028571429	0.034285714	0.017142857	1.4	2.6	WLEK0330	WLEK0330
483.136	156.691	308.642	91.069	191.601	59.851	117.041	44.491	156.058	60.719	98.76	40.364	57.298	30.458	157.193	52.326	3.902	0.116	0.464	0.046	0.12	0.11	13.263	16.041	14.912	5.125	3.547	0.374	10.081	2.485	2.007	0.878	51.079	5.191	4.712	1.336	11.276	2.944	114.002	82.743	9.248	2.74	0.157	0.364	0.23	0.423	0	0	0.565	0.607	2.004	0.785	1.856	0.383	0	0	1.929	0.471	0.969	0.176	0	0	0	0	1.373	0.704	0	0	0.999	0.045	0.001	0.032	2.952	0.233	0.883	0.323	0	0	1.253	1.235	0.435	0.506	16.898	0.046	16.259	0.052	16.269	0.05	7.14	0.12	7.712	0.13	7.378	0.124	1.592	0.103	1.067	0.078	1.022	0.081	1.109	0.159	0.808	0.131	0.726	0.119	0.0085	0.3303	0.026	0.0557	0	0.172	0.1408	0.2667	5.293	19628.0842	0.085714286	59.23942857	-0.324571429	0.074285714	0.062857143	0.057142857	0.074285714	0.068571429	0.068571429	0.028571429	0.04	0.017142857	1.6	0.9	WLEK0333	WLEK0333
338.8	156.962	206.091	88.656	117.082	49.206	89.01	46.136	117.103	60.02	67.031	36.142	50.073	31.038	77.3	51.98	3.899	0.395	0.498	0.074	0.16	0.151	11.194	15.46	17.278	6.608	3.294	0.561	7.358	2.992	0.892	1.13	50.833	8.243	3.467	1.67	8.876	3.904	46.986	56.808	6.379	2.676	0	0	0.08	0.271	0	0	0.536	0.597	1.624	0.912	0.909	0.747	0	0	1.459	0.554	0.575	0.495	0	0	0	0	0.773	0.908	0	0	0.965	0.186	0	0	2.834	0.457	0.791	0.407	0	0	0.86	0.937	0.321	0.494	16.956	0.059	16.319	0.061	16.332	0.061	7.336	0.172	7.986	0.156	7.657	0.173	1.669	0.118	1.182	0.105	1.144	0.1	1.26	0.193	0.972	0.143	0.975	0.16	0.0083	0.3342	0.0255	0.0536	0	0.1815	0.1233	0.2736	5.101	19614.0576	0.085714286	58.80857143	-0.326285714	0.074285714	0.062857143	0.062857143	0.074285714	0.062857143	0.068571429	0.028571429	0.04	0.017142857	1.0	1.0	WLEK0334	WLEK0334
467.815	121.531	280.244	70.458	141.758	39.022	138.486	41.068	152.101	47.918	73.977	28.77	78.123	30.048	133.032	44.34	3.917	0.202	0.48	0.044	0.271	0.152	30.387	22.945	11.283	5.086	3.632	0.359	10.1	1.92	1.697	0.747	47.028	4.852	4.714	1.112	11.342	2.558	85.652	52.498	9.307	2.667	0.001	0.032	0.107	0.309	0	0	0.904	0.534	1.653	0.945	1.803	0.451	0	0	1.657	0.551	0.912	0.285	0	0	0	0	1.582	0.642	0	0	0.993	0.089	0.002	0.045	2.93	0.313	0.683	0.466	0	0	1.179	0.815	0.2	0.403	16.923	0.053	16.296	0.059	16.305	0.058	7.231	0.116	7.734	0.109	7.362	0.114	1.656	0.122	1.143	0.121	1.11	0.131	1.212	0.162	0.775	0.146	0.7	0.151	0.0084	0.3318	0.0189	0.0529	0	0.176	0.1464	0.2656	4.948	19578.9671	0.085714286	55.38171429	-0.353142857	0.074285714	0.062857143	0.068571429	0.074285714	0.057142857	0.068571429	0.022857143	0.04	0.017142857	2.4	3.4	WLEK0335	WLEK0335
380.737	137.566	243.981	82.525	134.926	45.227	109.055	44.3	125.9	50.434	71.208	31.117	54.692	27.35	115.423	51.209	3.844	0.27	0.467	0.058	0.202	0.152	20.16	18.574	12.239	5.364	3.513	0.426	8.858	2.417	1.428	0.831	50.504	6.128	3.916	1.261	9.962	3.25	63.73	56.414	7.96	2.843	0.003	0.055	0.075	0.263	0	0	0.664	0.66	1.14	0.6	1.686	0.541	0	0	1.744	0.661	0.81	0.393	0	0	0	0	1.207	0.671	0	0	0.976	0.156	0.015	0.122	2.723	0.571	0.717	0.453	0	0	0.976	0.907	0.349	0.497	16.963	0.062	16.315	0.059	16.325	0.059	7.252	0.132	7.679	0.127	7.302	0.137	1.725	0.16	1.194	0.118	1.164	0.12	1.221	0.205	0.994	0.233	0.945	0.247	0.0085	0.3279	0.0229	0.0541	0	0.1692	0.1508	0.2666	5.091	19644.0836	0.085714286	58.32342857	-0.348	0.074285714	0.062857143	0.057142857	0.074285714	0.068571429	0.068571429	0.022857143	0.04	0.017142857	1.4	0.7	WLEK0342	WLEK0342
